,StartDate,EndDate,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q2,gender,age_group,rgn_nm,bmclub,division,memberNo,SEG,weight
274,2025-10-16 17:11:43,2025-10-16 17:12:21,38,TRUE,2025-10-16 17:12:22,R_4VPCyeFxOxKQBDq,8 ,밀키트 등의 상품들이 다양하고 당일에 바로 받을 수 있다는 장점이 있응,FEMALE,20대이하,수도권,구독,[BMART],2.00127E+11,FEMALE20대이하,
280,2025-10-16 17:10:59,2025-10-16 17:12:27,87,TRUE,2025-10-16 17:12:28,R_4qVyjOOCVDpdUBZ,7 ,"식당 외에도 소금 등의 재료가 바로배달오는게 좋긴 함
근데 지연되는게 잦고 너무 오래지연됨
30분 이내로 받을 줄 알고 시켰는데 1시간반 걸릴줄 알았으면 그냥 내가 갔다왔지;;",FEMALE,20대이하,수도권,구독,[BMART],1.80107E+11,FEMALE20대이하,
292,2025-10-16 17:10:22,2025-10-16 17:12:49,146,TRUE,2025-10-16 17:12:50,R_9doaGj9ge1F9pQw,10 ,늦게까지 괜찮은 상품을 배달받을수있고 상품이다양함,FEMALE,20대이하,수도권,미구독,[BMART],1.80804E+11,FEMALE20대이하,
323,2025-10-16 17:13:15,2025-10-16 17:13:47,32,TRUE,2025-10-16 17:13:48,R_4kAyyycoSy0xZXr,8 ,간편하게 사고 집으로 배달 와서 편하다.,FEMALE,20대이하,수도권,미구독,[BMART],2.11207E+11,FEMALE20대이하,
350,2025-10-16 17:14:02,2025-10-16 17:14:44,41,TRUE,2025-10-16 17:14:45,R_4k1u8T9VbxhCh0S,8 ,제품다양,FEMALE,20대이하,수도권,구독,[BMART],1.80517E+11,FEMALE20대이하,
406,2025-10-16 17:16:58,2025-10-16 17:17:18,20,TRUE,2025-10-16 17:17:19,R_9OoemlsOSGO1xns,6 ,ㅇ,FEMALE,20대이하,수도권,미구독,[BMART],1.91202E+11,FEMALE20대이하,
447,2025-10-16 17:16:44,2025-10-16 17:19:15,150,TRUE,2025-10-16 17:19:15,R_4fSO6JDw6ulT1df,7 ,"할인 할때 쿠폰 큰거 쓸때는 괜찮은데
아닐때는 비쌈
배달이 늦으면 그냥 기다려야 하고
문의 하면 죄송하다고 하고 끝임
후 조취가 없음 배달지연 쿠폰 이라도 줘야 하는데",FEMALE,20대이하,수도권,미구독,[BMART],1.71205E+11,FEMALE20대이하,
462,2025-10-16 17:19:04,2025-10-16 17:20:08,64,TRUE,2025-10-16 17:20:09,R_4mMhKF5gBxXjZTj,10 ,"거의 즉시 받을 수 있고, 심지어 주문 가능한 시간대가 다양해요
예약도 가능
비마트의 경우 쉽게 찾기 힘든 상품들도 있어요",FEMALE,20대이하,수도권,구독,"[BMART, Store]",2.20305E+11,FEMALE20대이하,
467,2025-10-16 17:16:51,2025-10-16 17:20:22,211,TRUE,2025-10-16 17:20:23,R_4jfiR5d0Vt3Hskt,5 ,"B마트가 안되는 곳들이 너무 많기도 하고
일반 마트의경우 언제 재입고 될지도 모르고 마냥 기다려야하는게 불편합니다.
재입고 알림을 해뒀다가 재입고될 때 주문할 수 있다면 더 좋을텐데 이런 시스템이 생기면 고객들도 더욱 많이 활용 할 것 같습니다

예를들면 원하는 물건이 이마트에서 재고없어서 다른마트에서 살 수 있겟지만, 이마트에서만 파는 그런 상품 또는 같은상품인데 가격차가 큰 경우, 매우 불편합니다",FEMALE,20대이하,수도권,미구독,[Store],2.20505E+11,FEMALE20대이하,
470,2025-10-16 17:19:19,2025-10-16 17:20:31,71,TRUE,2025-10-16 17:20:32,R_9ndxc4pY18UuGAF,9 ,"빠르게 오고 종류가 다양한 점이 만족스러우나
물품에 따라 동일한 상품이어도 지나치게 비싼 제품이 있고 배달비가 부담스러움",FEMALE,20대이하,수도권,구독,"[BMART, Store]",1.70924E+11,FEMALE20대이하,
490,2025-10-16 17:13:51,2025-10-16 17:21:40,468,TRUE,2025-10-16 17:21:41,R_9zDfdNS3gZWNPzY,10 ,편하고 물건이 다양함,FEMALE,20대이하,수도권,구독,[BMART],1.91218E+11,FEMALE20대이하,
537,2025-10-16 17:21:19,2025-10-16 17:24:34,195,TRUE,2025-10-16 17:24:35,R_9kFhJYSsEl5Lck8,10 ,"물건이 필요한데 마트 가기는 귀찮을 때 자주 이용해요. 동네 홈플러스나 이마트도 당일 빠른 배송 서비스가 있지만, B마트가 취급하는 물건 종류도 더 다양하고, 배민클럽? 10%할인도 돼서 좋아요. ",FEMALE,20대이하,수도권,구독,[BMART],1.61216E+11,FEMALE20대이하,
555,2025-10-16 17:25:08,2025-10-16 17:25:44,35,TRUE,2025-10-16 17:25:45,R_98XPp629mN9nvIp,8 ,편리함,FEMALE,20대이하,수도권,미구독,[BMART],2.00525E+11,FEMALE20대이하,
642,2025-10-16 17:33:20,2025-10-16 17:33:57,36,TRUE,2025-10-16 17:33:58,R_4HNDI4M7CVjmnbb,7 ,배달비만 없으면 10점이에용,FEMALE,20대이하,수도권,구독,"[BMART, Store]",2.11128E+11,FEMALE20대이하,
691,2025-10-16 17:37:57,2025-10-16 17:41:06,188,TRUE,2025-10-16 17:41:08,R_92yjNzZwfDmVIE5,5 ,배달비가 부담된다. 제품이 생각보다 다양하지 않다.,FEMALE,20대이하,수도권,미구독,[BMART],1.70131E+11,FEMALE20대이하,
692,2025-10-16 17:41:00,2025-10-16 17:41:32,32,TRUE,2025-10-16 17:41:33,R_9jV5dfoFXCjvejp,10 ,바로 오는 편리성 제품 다양해서,FEMALE,20대이하,수도권,미구독,[BMART],2.50418E+11,FEMALE20대이하,
695,2025-10-16 17:41:20,2025-10-16 17:42:12,51,TRUE,2025-10-16 17:42:13,R_9R3BYMQw9UefL1X,10 ,직접 갈 필요성이 현저히 낮아지고 시간이 없고 급할 때 사용하는 비율이 높기 때문,FEMALE,20대이하,수도권,구독,[BMART],1.90112E+11,FEMALE20대이하,
727,2025-10-16 17:49:31,2025-10-16 17:49:52,20,TRUE,2025-10-16 17:49:53,R_9N8J7LCb2uWJl5J,8 ,편리하고 배송 빠름,FEMALE,20대이하,수도권,구독,[Store],1.90926E+11,FEMALE20대이하,
733,2025-10-16 17:50:37,2025-10-16 17:50:59,21,TRUE,2025-10-16 17:51:00,R_9hiowgxom0GrL2z,10 ,빠른 배달,FEMALE,20대이하,수도권,구독,[BMART],2.20322E+11,FEMALE20대이하,
760,2025-10-16 17:44:46,2025-10-16 17:58:06,799,TRUE,2025-10-16 17:58:06,R_9BtpuzCiBAnyTn3,4 ,최소주문금액이 희망금액보다 큼,FEMALE,20대이하,수도권,구독,[Store],2.10116E+11,FEMALE20대이하,
775,2025-10-16 17:54:43,2025-10-16 18:01:45,422,TRUE,2025-10-16 18:01:46,R_4gnDAUagJMwdytI,6 ,편리하기는한데 금액을 좀 많이담아야 할인율이 좋아서 자주쓰지는 않는다.,FEMALE,20대이하,수도권,미구독,"[BMART, Store]",1.81215E+11,FEMALE20대이하,
786,2025-10-16 17:50:29,2025-10-16 18:05:18,889,TRUE,2025-10-16 18:05:20,R_9aOySISed7eCBI4,10 ,"B마트를 주로 이용하고, 아주 만족하고 있어서 10점을 선택했습니다. 물건의 종류들이 매우 다양하고 신제품도 자주 업데이트 돼서 새로운 제품을 이용해보는 즐거움도 있고, 식품뿐 아니라 생활용품, 화장품등의 카테고리도 매우 다양해서 진짜 마트에서 장보는것처럼 이용할수 있어서 애용합니다. 배달속도도 빠르고 포장이 꼼꼼한것도 아주 큰 장점이라고 생각합니다. 추가로 최근 몇개월동안 배민클럽 10% 할인쿠폰이 무제한으로 발급돼서 자주 이용하고 있습니다.

그런데 최근에 편의점 픽업서비스를 이용했을때 매장의 실재고와 어플상의 재고가 달라서 편의점 앞에서 기다리다가 취소통보를 받아서 당황스러웠던적이 있었습니다. 

쿠폰 사용을 위해 조금 기다리더라도 픽업주문을 한거여서 재주문하려고 어떤 제품이 품절인지 물어보니까 한두개가 아니어서 주문금액을 다시 맞추기가 어려웠고, 결국 픽업주문을 포기하고 쿠폰사용없이 매장에서 직접 구매하게 되었습니다. 장보기,쇼핑에서 주로(거의 99%) 비마트를 이용하기 때문에 대부분은 만족하지만 이런 경험은 조금 당황스럽긴 했습니다.",FEMALE,20대이하,수도권,구독,[BMART],1.80311E+11,FEMALE20대이하,
848,2025-10-16 18:39:38,2025-10-16 18:40:37,58,TRUE,2025-10-16 18:40:38,R_41SHVsLv6OV2cdd,10 ,바로 배송되는점이 편리함,FEMALE,20대이하,수도권,구독,"[BMART, Store]",1.90508E+11,FEMALE20대이하,
865,2025-10-16 18:52:27,2025-10-16 18:53:22,54,TRUE,2025-10-16 18:53:23,R_4s5t4KS8OYMExg3,10 ,"배달이 빠른편이고, 종류가 많음",FEMALE,20대이하,수도권,구독,[BMART],2.10711E+11,FEMALE20대이하,
878,2025-10-16 19:11:15,2025-10-16 19:11:41,26,TRUE,2025-10-16 19:11:42,R_9347XR6SCsC0O7Y,9 ,편하고 배송이 빨라요,FEMALE,20대이하,수도권,미구독,[Store],1.4122E+11,FEMALE20대이하,
911,2025-10-16 20:16:59,2025-10-16 20:19:06,126,TRUE,2025-10-16 20:19:07,R_4M5te050w2TlEUk,8 ,"배달이 빠르고 좋아요. 
맘에 정말 들어요. ^.^",FEMALE,20대이하,수도권,미구독,[BMART],2.20721E+11,FEMALE20대이하,
936,2025-10-16 21:52:53,2025-10-16 21:54:28,95,TRUE,2025-10-16 21:54:29,R_9N7y7xyOK1hldPX,6 ,집 앞까지 배달오는건 참 편리하고 좋은데 배달 완료까지 시간이 오래 걸려요. 그리고 비마트에서 할인하지 않는 품목은 비싼 편이구요.,FEMALE,20대이하,수도권,구독,[BMART],2.5051E+11,FEMALE20대이하,
938,2025-10-16 21:53:36,2025-10-16 21:55:07,90,TRUE,2025-10-16 21:55:08,R_4lrNIfNUWcLJwPL,8 ,특정 위치는 배달 잡히는 데에 한참 걸림. 가격 좀 비쌈. 신선도 떨어지는 경우 있음. 마트의 경우 지점 지정 불가,FEMALE,20대이하,수도권,구독,"[BMART, Store]",2.00717E+11,FEMALE20대이하,
941,2025-10-16 22:02:15,2025-10-16 22:02:56,40,TRUE,2025-10-16 22:02:57,R_9eUG9YD4gPguH0u,8 ,물건 고르기도 편하고 할인쿠폰 있어서,FEMALE,20대이하,수도권,미구독,[Store],1.81231E+11,FEMALE20대이하,
961,2025-10-17 00:11:41,2025-10-17 00:12:24,42,TRUE,2025-10-17 00:12:25,R_4vzyWB1tFsugIOB,8 ,"배민클럽 10퍼센트 쿠폰 상시발행, 타 장보기 서비스와 비슷하거나 낮은 가격, 과일 품질 좋음, 품목 다양함",FEMALE,20대이하,수도권,구독,[BMART],2.20224E+11,FEMALE20대이하,
969,2025-10-17 02:06:50,2025-10-17 02:07:33,43,TRUE,2025-10-17 02:07:35,R_4UHaLNqjpRYMfwR,10 ,할인 및 쿠폰도 많고 제품도 다양하며 쿠팡보다 더 빨라  급하게.이용하기 좋음,FEMALE,20대이하,수도권,구독,"[BMART, Store]",1.6052E+11,FEMALE20대이하,
976,2025-10-17 07:51:06,2025-10-17 07:52:37,90,TRUE,2025-10-17 07:52:38,R_9CEgXvnPi1XYStS,8 ,"예약 배달을 선택할 수 있고, 세일을 많이 
한다는 점. 하지만 지역마다 배송비 측정이 달라 해딩 지역이 높은 배송비라면 다른 어플을 사용할 것 같음.",FEMALE,20대이하,수도권,구독,[BMART],2.21016E+11,FEMALE20대이하,
94,2025-10-16 17:05:57,2025-10-16 17:06:17,19,TRUE,2025-10-16 17:06:18,R_9qa0p3hUOOCAMcg,10 ,10점,FEMALE,20대이하,지방,구독,[Store],2.10725E+11,FEMALE20대이하,
109,2025-10-16 17:06:27,2025-10-16 17:06:54,26,TRUE,2025-10-16 17:06:55,R_4hTUlD1XKt19pFn,8 ,시키면 30분이내에 바로 오니까 좋아요 ,FEMALE,20대이하,지방,구독,[BMART],2.50919E+11,FEMALE20대이하,
111,2025-10-16 17:06:46,2025-10-16 17:06:58,12,TRUE,2025-10-16 17:06:59,R_4dfDDcgP1KeqLjH,8 ,편해용,FEMALE,20대이하,지방,구독,[Store],1.80817E+11,FEMALE20대이하,
127,2025-10-16 17:07:14,2025-10-16 17:07:42,27,TRUE,2025-10-16 17:07:42,R_4NaalVjcJEWVFWt,8 ,배송이 느려 취소한 경험이 있음,FEMALE,20대이하,지방,구독,[BMART],1.8041E+11,FEMALE20대이하,
129,2025-10-16 17:06:31,2025-10-16 17:07:59,87,TRUE,2025-10-16 17:08:00,R_9irMUsUpM9JNC0N,10 ,"동네마트에서는 구하기 어려운 물품도 구할 수 있다.

주문하고 받는데까지 한시간정도면 넉넉해서 오후에 저녁메뉴 결정하고 해당 재료 주문해서 당일 저녁 차릴 수 있다.

최소주문금액이 1.5만이라 한두가지 재료를 빠뜨려도 다시 시킬수있다.",FEMALE,20대이하,지방,구독,"[BMART, Store]",1.40806E+11,FEMALE20대이하,
247,2025-10-16 17:10:13,2025-10-16 17:11:17,64,TRUE,2025-10-16 17:11:18,R_4uVhASztNEJncY1,8 ,바쁘거나 귀찮을 때 배달만한 것이 없다!,FEMALE,20대이하,지방,미구독,[Store],1.90106E+11,FEMALE20대이하,
252,2025-10-16 17:11:11,2025-10-16 17:11:32,20,TRUE,2025-10-16 17:11:33,R_9979uqXzFpq63ju,8 ,편하고 좋아요,FEMALE,20대이하,지방,미구독,[BMART],2.40204E+11,FEMALE20대이하,
267,2025-10-16 17:11:24,2025-10-16 17:12:04,39,TRUE,2025-10-16 17:12:05,R_9eLzisO7QG7clNf,8 ,바로배송이 된다는 점이 좋습니다,FEMALE,20대이하,지방,구독,[BMART],1.80623E+11,FEMALE20대이하,
309,2025-10-16 17:13:01,2025-10-16 17:13:16,14,TRUE,2025-10-16 17:13:17,R_9zDyIR2xrzYxbAl,8 ,그냥,FEMALE,20대이하,지방,미구독,[Store],1.90119E+11,FEMALE20대이하,
317,2025-10-16 17:11:48,2025-10-16 17:13:26,97,TRUE,2025-10-16 17:13:27,R_4Oivm4hKBcTZE5G,8 ,집 밖에 나가기 귀찮을때 자주 사용하고 편해요 편의점은 멀어도 배달비가 3000이라는게 장점 근데가끔 플라스틱은 찌그러쟈서 올 때가 있고 요청사항 절때안보고 전화도안받음 그럴때는 진짜 열받아요,FEMALE,20대이하,지방,미구독,[Store],2.50212E+11,FEMALE20대이하,
476,2025-10-16 17:20:16,2025-10-16 17:20:55,38,TRUE,2025-10-16 17:20:56,R_9YPSIb0x2uFnP4G,10 ,빠른 배송과 급할 때 필요한 것들이 잘 구비되어 있어서 추천합니다,FEMALE,20대이하,지방,구독,"[BMART, Store]",1.80209E+11,FEMALE20대이하,
520,2025-10-16 17:22:45,2025-10-16 17:23:05,19,TRUE,2025-10-16 17:23:06,R_9FVsYtTPvVjgYVS,9 ,당일배송이만족스러움,FEMALE,20대이하,지방,미구독,[BMART],1.71126E+11,FEMALE20대이하,
596,2025-10-16 17:28:46,2025-10-16 17:29:02,15,TRUE,2025-10-16 17:29:03,R_9MSsVOgH0iJhFAO,8 ,배송빠르고 간편험,FEMALE,20대이하,지방,구독,[BMART],2.31104E+11,FEMALE20대이하,
604,2025-10-16 17:29:28,2025-10-16 17:29:58,29,TRUE,2025-10-16 17:29:59,R_91Ey5XRWxZ22837,7 ,그냥.. 저정도의 서비스라는 느낌을 받아서,FEMALE,20대이하,지방,구독,[Store],1.80523E+11,FEMALE20대이하,
606,2025-10-16 17:29:33,2025-10-16 17:30:03,30,TRUE,2025-10-16 17:30:05,R_9iLxdBJkmBNuJEu,10 ,매우 편리하며 실제로 거의 매일 사용하고 있기 때문,FEMALE,20대이하,지방,구독,"[BMART, Store]",1.90221E+11,FEMALE20대이하,
612,2025-10-16 17:29:17,2025-10-16 17:30:28,70,TRUE,2025-10-16 17:30:29,R_9pXEsFMdjhV0CVy,7 ,"동네 마트에서 구하기 어려운 것들도 비교적 구하기 쉬움
30분이면 도착한다는 점이 메리트가 큼
편함
세일도 자주 함",FEMALE,20대이하,지방,구독,[BMART],1.91027E+11,FEMALE20대이하,
624,2025-10-16 17:27:26,2025-10-16 17:31:52,266,TRUE,2025-10-16 17:31:54,R_9H0HL4PVAXdZ0XU,6 ,"장점: 집에서 편하게 기다릴수 있으니까 그리고 필요한 재료가 가까운 마트에 없으면 살수 있으니까
  단점은:일단 배달비가 있고 배달오는것 보다 가까운 마트에서 사고 오는게 더 빠를것 같아서요 ",FEMALE,20대이하,지방,미구독,"[BMART, Store]",2.50412E+11,FEMALE20대이하,
725,2025-10-16 17:48:49,2025-10-16 17:49:40,51,TRUE,2025-10-16 17:49:41,R_4qCQHZ1AZRErpYB,8 ,배달도 빠르고 시간 절약되고 좋음.,FEMALE,20대이하,지방,구독,[Store],1.90619E+11,FEMALE20대이하,
739,2025-10-16 17:52:25,2025-10-16 17:53:07,42,TRUE,2025-10-16 17:53:08,R_4FrBy1TYT8NnXiO,10 ,일요일이나 오후10시 이후 대형마트가 문이 닫아 이용할 수 없을 때 매우 유용,FEMALE,20대이하,지방,미구독,[BMART],2.20214E+11,FEMALE20대이하,
797,2025-10-16 18:09:46,2025-10-16 18:10:12,25,TRUE,2025-10-16 18:10:13,R_43GT3IIk91iuZu9,7 ,편리하다,FEMALE,20대이하,지방,미구독,[Store],2.50203E+11,FEMALE20대이하,
856,2025-10-16 18:45:00,2025-10-16 18:45:44,43,TRUE,2025-10-16 18:45:45,R_4SwzaJ2NgmjcMdr,8 ,당일 필요한 물건을 빠르게 받을 수 있어서 좋다,FEMALE,20대이하,지방,미구독,[BMART],1.80802E+11,FEMALE20대이하,
870,2025-10-16 18:58:24,2025-10-16 19:00:26,122,TRUE,2025-10-16 19:00:27,R_4zZv6QPwxQyTllG,7 ,"편의점 쇼핑을 하면 1+1이라서 마트보다 가격이 저럼할때도 있고 또 집앞도 나가기 귀찮을때는 사용할 만 한것 같아요!

근데 최소주문금액과 배달비가 비싸다보니 잘은 사용안해용",FEMALE,20대이하,지방,미구독,[Store],2.10224E+11,FEMALE20대이하,
882,2025-10-16 19:14:26,2025-10-16 19:16:27,121,TRUE,2025-10-16 19:16:28,R_97mZp5Xmc9xbKhz,7 ,배달팀이 있어서 조금 그렇지만 뭐 나가지 않는걸 생각하면 추천 할 것 같습니다,FEMALE,20대이하,지방,미구독,[Store],2.50731E+11,FEMALE20대이하,
967,2025-10-17 01:14:55,2025-10-17 01:15:49,53,TRUE,2025-10-17 01:15:50,R_9P74t53XmDuBJ0n,10 ,원하는 상품을 주문하기 편리하고 배송이 빨라서 좋다. ,FEMALE,20대이하,지방,구독,[BMART],2.00215E+11,FEMALE20대이하,
4,2025-10-16 17:01:25,2025-10-16 17:01:43,17,TRUE,2025-10-16 17:01:44,R_9p5tNWPV66EQvme,9 ,편리해요,FEMALE,30대,수도권,구독,[BMART],1.80802E+11,FEMALE30대,
6,2025-10-16 17:01:19,2025-10-16 17:01:58,38,TRUE,2025-10-16 17:02:00,R_9dWI6EwbP5AWXZi,10 ,1인 가구가 소비하기 적당한 양을 빠르게 받을 수 있어서 좋습니다.,FEMALE,30대,수도권,구독,[BMART],1.71009E+11,FEMALE30대,
8,2025-10-16 17:01:10,2025-10-16 17:02:10,59,TRUE,2025-10-16 17:02:11,R_92nRBiEKAfLssXA,5 ,특정 분야의 카테고리는 메뉴가 다양하지 않은 경우가 있고 신선식품의 경우 품질이 복불복인 경우가 많아서,FEMALE,30대,수도권,구독,[BMART],1.81111E+11,FEMALE30대,
10,2025-10-16 17:01:50,2025-10-16 17:02:16,25,TRUE,2025-10-16 17:02:17,R_48RPiKc91ST3AD7,6 ,빠른배송이 좋습니다👍🏻,FEMALE,30대,수도권,미구독,[BMART],1.71015E+11,FEMALE30대,
12,2025-10-16 17:01:45,2025-10-16 17:02:21,35,TRUE,2025-10-16 17:02:22,R_4aNfmNXbTBkR613,6 ,가격경쟁력은 없으나 바로 배달되니 급할 때는 쓸만함,FEMALE,30대,수도권,미구독,[BMART],2.10916E+11,FEMALE30대,
28,2025-10-16 17:02:21,2025-10-16 17:02:54,32,TRUE,2025-10-16 17:02:55,R_4O4iw59IdIqKV33,5 ,편하긴 한데 검색이 어렵고 오래걸림,FEMALE,30대,수도권,구독,[BMART],1.4121E+11,FEMALE30대,
40,2025-10-16 17:02:44,2025-10-16 17:03:26,41,TRUE,2025-10-16 17:03:27,R_9YzWK8qahnrGaVm,8 ,배달이 빠르다. 근데 점점 쿠폰이나 할인률이 줄어들어서 별로다.,FEMALE,30대,수도권,미구독,[BMART],1.70118E+11,FEMALE30대,
52,2025-10-16 17:03:37,2025-10-16 17:04:03,26,TRUE,2025-10-16 17:04:05,R_4O2cwGFK8320A5b,7 ,당일배송,FEMALE,30대,수도권,구독,[BMART],1.90703E+11,FEMALE30대,
59,2025-10-16 17:04:13,2025-10-16 17:04:35,21,TRUE,2025-10-16 17:04:36,R_4BhRytmVvee4vxa,1 ,ㄱ,FEMALE,30대,수도권,구독,[BMART],2.30203E+11,FEMALE30대,
64,2025-10-16 17:04:09,2025-10-16 17:04:44,34,TRUE,2025-10-16 17:04:45,R_9pXkoHsmrbrxc1k,5 ,식료품이 상태가 좋지 않은것을 보내주었음,FEMALE,30대,수도권,구독,[Store],1.81016E+11,FEMALE30대,
71,2025-10-16 17:05:02,2025-10-16 17:05:23,21,TRUE,2025-10-16 17:05:24,R_9vdETEPVdTm5dKx,10 ,편리함,FEMALE,30대,수도권,구독,[BMART],1.90712E+11,FEMALE30대,
80,2025-10-16 17:05:24,2025-10-16 17:05:47,23,TRUE,2025-10-16 17:05:48,R_4QthkHE4EOWh349,5 ,고객센터 응대 불만,FEMALE,30대,수도권,구독,[BMART],1.70722E+11,FEMALE30대,
89,2025-10-16 17:05:28,2025-10-16 17:06:04,35,TRUE,2025-10-16 17:06:05,R_4wykU5DD1WfU2sr,5 ,배달비 너무 비싸고 물건가격도 비싸서 급할때아니면 안씀,FEMALE,30대,수도권,구독,[BMART],1.80901E+11,FEMALE30대,
92,2025-10-16 17:05:29,2025-10-16 17:06:10,40,TRUE,2025-10-16 17:06:11,R_4VwIZpnGiRoEcpb,10 ,"직접 가는 것 보다 편하고, 배달비 무료일 때 많고.. 배달도 빠르고 편리해요",FEMALE,30대,수도권,구독,[Store],1.70326E+11,FEMALE30대,
93,2025-10-16 17:04:26,2025-10-16 17:06:17,111,TRUE,2025-10-16 17:06:18,R_9nmzlkYB8U95Xfr,5 ,편리함은 좋지만 다른곳에 서칭해보면 가격차이가 많이나요,FEMALE,30대,수도권,구독,"[BMART, Store]",2.01405E+11,FEMALE30대,
100,2025-10-16 17:05:55,2025-10-16 17:06:26,30,TRUE,2025-10-16 17:06:27,R_9cnFrKoqXe3E4LV,5 ,제품의 다양성.종류,FEMALE,30대,수도권,구독,[BMART],1.80123E+11,FEMALE30대,
