,ResponseId,Q2,Q1_1,classification,category,sub_category,Unnamed: 6,Unnamed: 7,Unnamed: 8,gender,age_group,rgn_nm
41,R_4RMA7ohXk28X5aF,돈 더들여서 한집배달 시켜도 매장에서는 자기네 배달 아니라고 나몰라라 하고 고객센터는 연결도 어렵고 몇번중에 한번꼴로 배달이 많이 지연됨,5,배달속도 > 한집배달 의심/불만,배달속도,한집배달 의심/불만,,,,MALE,40대,광역시
42,R_4RMA7ohXk28X5aF,돈 더들여서 한집배달 시켜도 매장에서는 자기네 배달 아니라고 나몰라라 하고 고객센터는 연결도 어렵고 몇번중에 한번꼴로 배달이 많이 지연됨,5,기타 > 고객 서비스 연결,기타,고객 서비스 연결,,,,MALE,40대,광역시
43,R_4RMA7ohXk28X5aF,돈 더들여서 한집배달 시켜도 매장에서는 자기네 배달 아니라고 나몰라라 하고 고객센터는 연결도 어렵고 몇번중에 한번꼴로 배달이 많이 지연됨,5,배달속도 > 배달 속도 느림,배달속도,배달 속도 느림,,,,MALE,40대,광역시
44,R_4RMA7ohXk28X5aF,돈 더들여서 한집배달 시켜도 매장에서는 자기네 배달 아니라고 나몰라라 하고 고객센터는 연결도 어렵고 몇번중에 한번꼴로 배달이 많이 지연됨,5,가게를 믿고 주문 > 업주 소통,가게를 믿고 주문,업주 소통,,,,MALE,40대,광역시
45,R_4t5u4MWf6B7ny0Z,배달되는곳이 많아서요,8,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,수도권
46,R_9pKKlSV20KrtDAK,제법 괜찮은 어플이라서,7,기타 > 만족,기타,만족,,,,MALE,30대,수도권
47,R_4q9YUKA8NXGoQIx,요즘들어 무료배달도 1인배달 상품 이 많아져서 좋습ㄴ대,8,배달팁 만족 > 무료배달,배달팁 만족,무료배달,,,,FEMALE,40대,지방
48,R_4q9YUKA8NXGoQIx,요즘들어 무료배달도 1인배달 상품 이 많아져서 좋습ㄴ대,8,가게/메뉴 다양성 > 1인 메뉴 다양,가게/메뉴 다양성,1인 메뉴 다양,,,,FEMALE,40대,지방
49,R_9PgEIZ5FxwnCkp3,가맹점이 많아요,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,MALE,40대,수도권
50,R_4DGMxq4f3TRArLP,이용하기 편하고 다양한 먹거리가 있음,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,30대,지방
51,R_9OweLntsGvUa7Pj,업체 많음,9,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,수도권
52,R_9wBHkGWf2S04wkp,요즘 배달의 주문컷이 쉬워졌다 일인 배달비무료도생겨서 자취하는얘들한태 맛집추천하고받기도한다,10,가게/메뉴 다양성 > 인기 맛집 많음,가게/메뉴 다양성,인기 맛집 많음,,,,MALE,30대,지방
53,R_9HpAvoj88r8tyCi,메뉴도 많고 빠른 배달,9,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,40대,지방
54,R_9ztHojMoePu7cz8,배달비가 너무 비싸구 할인쿠폰?이런거 뿌릴 땐 좋아요 다른 앱과의 차별점을 잘 모르겠어요,5,배달팁 > 배달팁 높음,배달팁,배달팁 높음,,,,FEMALE,10대,지방
55,R_9ztHojMoePu7cz8,배달비가 너무 비싸구 할인쿠폰?이런거 뿌릴 땐 좋아요 다른 앱과의 차별점을 잘 모르겠어요,5,혜택(할인 및 쿠폰) > 혜택 다양성,혜택(할인 및 쿠폰),혜택 다양성,,,,FEMALE,10대,지방
56,R_9ztHojMoePu7cz8,배달비가 너무 비싸구 할인쿠폰?이런거 뿌릴 땐 좋아요 다른 앱과의 차별점을 잘 모르겠어요,5,기타 > 차별성 부족/평범함,기타,차별성 부족/평범함,,,,FEMALE,10대,지방
57,R_4EGu94VKKELOfvK,"배민클럽해도 다 무료배달은 아니고
할인행사가 타사보다 적고
매장금액보다 비싸고
상담원이 불친절하고",1,배달팁 > 무료배달 아님,배달팁,무료배달 아님,,,,FEMALE,40대,지방
58,R_4EGu94VKKELOfvK,"배민클럽해도 다 무료배달은 아니고
할인행사가 타사보다 적고
매장금액보다 비싸고
상담원이 불친절하고",1,혜택(할인 및 쿠폰) > 할인 혜택,혜택(할인 및 쿠폰),할인 혜택,,,,FEMALE,40대,지방
59,R_4EGu94VKKELOfvK,"배민클럽해도 다 무료배달은 아니고
할인행사가 타사보다 적고
매장금액보다 비싸고
상담원이 불친절하고",1,메뉴 가격 > 앱과 매장가격 불일치,메뉴 가격,앱과 매장가격 불일치,,,,FEMALE,40대,지방
60,R_4EGu94VKKELOfvK,"배민클럽해도 다 무료배달은 아니고
할인행사가 타사보다 적고
매장금액보다 비싸고
상담원이 불친절하고",1,기타 > 고객 서비스,기타,고객 서비스,,,,FEMALE,40대,지방
61,R_9JJhFnFCGylP96Q,편하게 주문할수 있엇니,8,앱 사용 편리성 > 결제 편의성,앱 사용 편리성,결제 편의성,,,,MALE,50대 이상,지방
62,R_4wiKps0KUOywUIF,진도에서도되는게조앗어요,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,MALE,10대,수도권
63,R_4VHGi3776yvlwEo,다양한 가게가 카테고리별로 나누어져 있어 편리하고 배달도 빠르게 잘 되요.,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,수도권
64,R_4eRW0J8H92q79Zb,이용가능한 매장의 폭이 넓고 혜택이 많음,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,50대 이상,광역시
65,R_9CdW4Hj5ihhM5Ac,사용이 편해서요,8,앱 사용 편리성 > 사용 편의성,앱 사용 편리성,사용 편의성,,,,FEMALE,40대,수도권
66,R_4DSVIVU7vIE3p9X,할인쿠폰도 많이주시고 한집배달 알뜰배달 가게배달 3개로 나뉜게 좋아요,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,50대 이상,광역시
67,R_9mKmZH2tsIgiukJ,최근 기사님 배차지연으로 배송이 늦어질때가 종종 있음,8,배달속도 > 배달 속도 느림,배달속도,배달 속도 느림,,,,MALE,30대,수도권
68,R_9ku63NxDUsUQaeB,"가게를 찾으려고 해도 찾기 어려움
배달 픽업 각자 다르게 돼있어서 보기 힘듬",4,앱 사용 편리성 > 검색 편의성,앱 사용 편리성,검색 편의성,,,,FEMALE,40대,지방
69,R_9ku63NxDUsUQaeB,"가게를 찾으려고 해도 찾기 어려움
배달 픽업 각자 다르게 돼있어서 보기 힘듬",4,앱 사용 편리성 > 메뉴 탐색 편의성,앱 사용 편리성,메뉴 탐색 편의성,,,,FEMALE,40대,지방
70,R_9f1Q3k3hdH2rNO2,"특별히 추천할 정도로 큰 메리트는 없는거 같다
배민만의 특별한 강점이 있다면 모를까..",5,기타 > 사용 가치 부족,기타,사용 가치 부족,,,,MALE,40대,수도권
71,R_9imYe1boLtXXYzL,꼭 필요한 서비스가 있다,7,기타 > 필요성,기타,필요성,,,,MALE,50대 이상,수도권
72,R_402cj4IiecvdOa0,배차가 계속 연장되는 일이 잦아짐,4,도착 예정 시간에 배달 > 라이더 배차/픽업 지연,도착 예정 시간에 배달,라이더 배차/픽업 지연,,,,MALE,30대,수도권
73,R_402cj4IiecvdOa0,배차가 계속 연장되는 일이 잦아짐,4,도착 예정 시간에 배달 > 라이더 배차/픽업 지연,도착 예정 시간에 배달,라이더 배차/픽업 지연,,,,MALE,30대,수도권
74,R_9jZqJv7uza0eDQc,쿠팡잇츠에없는게 있음,5,앱에서만 주문 가능 > 다른 앱에 없는 가게,앱에서만 주문 가능,다른 앱에 없는 가게,,,,FEMALE,50대 이상,수도권
75,R_9H4Bgjhe74VDNSx,배달료 고가,5,배달팁 > 배달팁 높음,배달팁,배달팁 높음,,,,FEMALE,30대,수도권
76,R_4KqgseZiW77b9s7,"배민클럽 가입하면 무료배달이라 써있지만 
실상은 가게메뉴가격이랑 배달메뉴가격이 가게보다 배달이 2천원에서 3천원 더비싼데 그게 무료배달인가요?",1,배달팁 > 무료배달 아님,배달팁,무료배달 아님,,,,MALE,40대,광역시
77,R_4KqgseZiW77b9s7,"배민클럽 가입하면 무료배달이라 써있지만 
실상은 가게메뉴가격이랑 배달메뉴가격이 가게보다 배달이 2천원에서 3천원 더비싼데 그게 무료배달인가요?",1,메뉴 가격 > 앱과 매장가격 불일치,메뉴 가격,앱과 매장가격 불일치,,,,MALE,40대,광역시
78,R_9MzlGfE0z0D4O77,전반적으로 배달이 늦음,5,배달속도 > 배달 속도 느림,배달속도,배달 속도 느림,,,,MALE,50대 이상,광역시
79,R_414x1e3RhRfxL7R,딱히  뭐  그냥 다쓰니,5,기타 > 대중성/인지도,기타,대중성/인지도,,,,FEMALE,30대,광역시
80,R_4R23udukhJiqjGi,그냥 특별한 점 없음,5,기타 > 차별성 부족/평범함,기타,차별성 부족/평범함,,,,FEMALE,30대,광역시
81,R_9q29gafwTwKMkw8,"배달위치상황공유가 편리합니다.
그렇지만, 자영업자의 수수료문제가 크다하여 8점드렸습니다.",8,앱 사용 편리성 > 배달 현황 확인,앱 사용 편리성,배달 현황 확인,,,,FEMALE,30대,지방
82,R_9q29gafwTwKMkw8,"배달위치상황공유가 편리합니다.
그렇지만, 자영업자의 수수료문제가 크다하여 8점드렸습니다.",8,기타 > 사회적 기여,기타,사회적 기여,,,,FEMALE,30대,지방
83,R_4GH9v6en00oopjz,이벤트 쿠폰이 별로임.,4,혜택(할인 및 쿠폰) > 쿠폰,혜택(할인 및 쿠폰),쿠폰,,,,MALE,50대 이상,광역시
84,R_4GlSMVU5lWAeGU9,가게도 많고 쿠폰도줘서요,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,MALE,30대,수도권
85,R_4x4KQfJPQ4CiQc9,집근처 맛집들을 손쉽게 찾아볼수 있고 선택의  폭이 넓음,10,가게/메뉴 다양성 > 인기 맛집 많음,가게/메뉴 다양성,인기 맛집 많음,,,,MALE,50대 이상,수도권
86,R_4x4KQfJPQ4CiQc9,집근처 맛집들을 손쉽게 찾아볼수 있고 선택의  폭이 넓음,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,MALE,50대 이상,수도권
87,R_9BoPXjyqj1UupFf,쿠팡에서는 입점되지 않은 브랜드들이 그래도 아직은 배달의민족에 있어서 폭넓게 이용가능합니다,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,40대,수도권
88,R_4Cd1IPMOkx5iRS2,가맹점주에 피해인거 같아서,1,기타 > 사회적 기여,기타,사회적 기여,,,,FEMALE,50대 이상,광역시
89,R_4nwajXASTYMC9KG,가게도 많고 종류도 많아서 좋아요,9,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,지방
90,R_4GjCIlDf4B8GVYl,배달시간 안지키는것,5,도착 예정 시간에 배달 > 배달 시간 부정확,도착 예정 시간에 배달,배달 시간 부정확,,,,FEMALE,40대,광역시
91,R_4m8iK42bvD2Qvjg,"배민쿠팡 빨리망해야함
",0,기타 > 이미지/느낌 부정적,기타,이미지/느낌 부정적,,,,MALE,40대,지방
92,R_9r2ho1TDa8hxHQt,거의모두 쓰고있어요 ,5,기타 > 대중성/인지도,기타,대중성/인지도,,,,FEMALE,50대 이상,수도권
93,R_9czw3z9HfWY05P1,"6년째 이용하면서 주문도 자주하고
리뷰도 한번도 안빠뜨리고 적고있어서
따지고보면 저같은 사람은 VIP고객인데
그에따른 실질적 혜택이 전혀없는게
넘너무 아쉬운점이고 그렇다고 바꾸자니
귀찮아 유지할뿐 딱히 추천하고 싶지는 
않습니다 장기이용 회원들에대한 별도의
혜택을 강구해주시면 감사하겠습니다.",5,멤버십 혜택 > 멤버십 혜택 불만,멤버십 혜택,멤버십 혜택 불만,,,,FEMALE,50대 이상,지방
94,R_9czw3z9HfWY05P1,"6년째 이용하면서 주문도 자주하고
리뷰도 한번도 안빠뜨리고 적고있어서
따지고보면 저같은 사람은 VIP고객인데
그에따른 실질적 혜택이 전혀없는게
넘너무 아쉬운점이고 그렇다고 바꾸자니
귀찮아 유지할뿐 딱히 추천하고 싶지는 
않습니다 장기이용 회원들에대한 별도의
혜택을 강구해주시면 감사하겠습니다.",5,혜택(할인 및 쿠폰) > 기존 회원 혜택,혜택(할인 및 쿠폰),기존 회원 혜택,,,,FEMALE,50대 이상,지방
95,R_9qQ9dMPt254HyrT,나쁘지도좋지도안은거같아서요,5,기타 > 기타,기타,기타,,,,FEMALE,40대,수도권
96,R_9OKbIP3XAAXCAUs,"경쟁업체대비
입점매장이 다양함",7,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,MALE,40대,수도권
97,R_4qf15CI9F1ZNELR,배달료가 비싸서,5,배달팁 > 배달팁 높음,배달팁,배달팁 높음,,,,FEMALE,20대,광역시
98,R_9zdK2KHZ9WYrPdf,많은 음식점이 입점해 있어서 먹고 싶은 음식을 고르기 좋아요. ,8,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,수도권
99,R_9zdK2KHZ9WYrPdf,많은 음식점이 입점해 있어서 먹고 싶은 음식을 고르기 좋아요. ,8,앱 사용 편리성 > 사용 편의성,앱 사용 편리성,사용 편의성,,,,FEMALE,40대,수도권
100,R_4jlmqtFLRtMnKcM,갈수록 배달료가 오름,6,배달팁 > 배달팁 높음,배달팁,배달팁 높음,,,,FEMALE,30대,광역시
101,R_9VrIvgq1EtC8Glm,옛날에 비해 혜택도 많이 줄었고 요즘은 땡겨요같은 다른 어플이 더 좋아서 ,5,혜택(할인 및 쿠폰) > 혜택 다양성,혜택(할인 및 쿠폰),혜택 다양성,,,,MALE,20대,지방
102,R_9VrIvgq1EtC8Glm,옛날에 비해 혜택도 많이 줄었고 요즘은 땡겨요같은 다른 어플이 더 좋아서 ,5,기타 > 다른 앱 선호,기타,다른 앱 선호,,,,MALE,20대,지방
103,R_4NGAcDmcnVWkr29,가장 대표적인 배달어플이라 활용이 수월해서 주변에 추천할만하다,8,기타 > 대중성/인지도,기타,대중성/인지도,,,,MALE,30대,수도권
104,R_4NGAcDmcnVWkr29,가장 대표적인 배달어플이라 활용이 수월해서 주변에 추천할만하다,8,앱 사용 편리성 > 사용 편의성,앱 사용 편리성,사용 편의성,,,,MALE,30대,수도권
105,R_4nwajXASTYMC9KG,가게도 많고 종류도 많아서 좋아요,9,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,FEMALE,40대,지방
106,R_4FKUSb4c3xWAsqp,다양한 음식을 입맛대로 주문할수 있어서,9,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,40대,광역시
107,R_9MQIaabkL1GRQ2h,메뉴도다양한데 리뷰로 고를수도있고 다양한매장 범위가넓어 좋아요,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,50대 이상,수도권
108,R_9MQIaabkL1GRQ2h,메뉴도다양한데 리뷰로 고를수도있고 다양한매장 범위가넓어 좋아요,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,FEMALE,50대 이상,수도권
109,R_9TQs9HDb3SQVJwB,배달되는 곳도 많고 이벤트도 많고 환불처리도 빠르기 때문에,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,10대,수도권
110,R_9iWFxWxd2HP4fGM,다양한메뉴및 배달비절감  ,10,가게/메뉴 다양성 > 다양한 메뉴,가게/메뉴 다양성,다양한 메뉴,,,,MALE,50대 이상,수도권
111,R_4rG2eOh4hZKbrom,사악한 기업,1,기타 > 이미지/느낌 부정적,기타,이미지/느낌 부정적,,,,MALE,50대 이상,수도권
112,R_4sXtkR9pocdMLnS,편리하고 가게수가 많아서,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,MALE,50대 이상,수도권
113,R_4zbgtf8PnCvoiQ1,입점된 매장이 많고 한그릇메뉴전용 등 사용하기에 좋음,10,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,30대,수도권
114,R_4gYthPfu5x1r06x,다양한 배달업체들이 입점해있음,9,가게/메뉴 다양성 > 가게 많음,가게/메뉴 다양성,가게 많음,,,,FEMALE,40대,수도권
115,R_9qeNQWHhIjMUX3W,그냥그냘느냥,1,기타 > 기타,기타,기타,,,,MALE,20대,수도권
116,R_4MFks4Yq8W4eP7O,가장 편하게 자주 주문,8,앱 사용 편리성 > 사용 편의성,앱 사용 편리성,사용 편의성,,,,FEMALE,50대 이상,수도권
117,R_4MFks4Yq8W4eP7O,가장 편하게 자주 주문,8,기타 > 이용빈도 높음/익숙함,기타,이용빈도 높음/익숙함,,,,FEMALE,50대 이상,수도권
118,R_9F4kpAt71ZHlw0s,다른앱 보다 가게수가 많이 등록되어있어서,5,없음 > 없음,없음,없음,,,,FEMALE,40대,수도권
119,R_9F4kpAt71ZHlw0s,다른앱 보다 가게수가 많이 등록되어있어서,5,없음 > 없음,없음,없음,,,,FEMALE,40대,수도권
120,R_4OmUkbpnIrmWeYx,고객센터 대응이 좋음.,7,기타 > 고객 서비스,기타,고객 서비스,,,,MALE,20대,수도권
121,R_9kYsCowbwmFUDij,악덕기업이라..,1,기타 > 이미지/느낌 부정적,기타,이미지/느낌 부정적,,,,MALE,40대,수도권
122,R_9VNCRbVNkhZw99f,"신속배달, 할인이벤트 다양",8,도착 예정 시간에 배달 > 빠른 배달,도착 예정 시간에 배달,빠른 배달,,,,MALE,50대 이상,지방
123,R_9VNCRbVNkhZw99f,"신속배달, 할인이벤트 다양",8,혜택(할인 및 쿠폰) > 이벤트,혜택(할인 및 쿠폰),이벤트,,,,MALE,50대 이상,지방
124,R_9f3ONp4sdx8wZQk,쿠폰 이벤트를 해서,8,혜택(할인 및 쿠폰) > 이벤트,혜택(할인 및 쿠폰),이벤트,,,,FEMALE,30대,지방
125,R_9LN0XTEG3eRLyWm,들쭉 날쭉한 혜택에 클럽가입한 고객은 잡힌 물고기처럼 대해서 그렇습니다 뮤료배달기간에는 그냥저냥 쓸만합니다,5,멤버십 혜택 > 멤버십 혜택 불만,멤버십 혜택,멤버십 혜택 불만,,,,MALE,30대,수도권
126,R_9LN0XTEG3eRLyWm,들쭉 날쭉한 혜택에 클럽가입한 고객은 잡힌 물고기처럼 대해서 그렇습니다 뮤료배달기간에는 그냥저냥 쓸만합니다,5,없음 > 없음,없음,없음,,,,MALE,30대,수도권
127,R_4RzY8BJLYkCYA25,주문 하기가 쉽고 매장이 많다,6,없음 > 없음,없음,없음,,,,FEMALE,40대,수도권
128,R_4RzY8BJLYkCYA25,주문 하기가 쉽고 매장이 많다,6,없음 > 없음,없음,없음,,,,FEMALE,40대,수도권
129,R_4k62EBDw0dbYQ91,배달하면 비싸요 ,1,배달팁 > 배달팁 높음,배달팁,배달팁 높음,,,,MALE,50대 이상,수도권
130,R_477qc6FGwGsr0bf,너무느려요 배달이 그리고 코스도 안맞게 배달기사에게 주는거같아요 그리고 늦으면 늦는다고 말해줘야하는데 그냥 배민에서 시간만 ..,1,배달속도 > 배달 속도 느림,배달속도,배달 속도 느림,,,,MALE,40대,광역시
131,R_477qc6FGwGsr0bf,너무느려요 배달이 그리고 코스도 안맞게 배달기사에게 주는거같아요 그리고 늦으면 늦는다고 말해줘야하는데 그냥 배민에서 시간만 ..,1,배달속도 > 한집배달 의심/불만,배달속도,한집배달 의심/불만,,,,MALE,40대,광역시
