No,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q1_1,Q2,Q10,Q10_10_TEXT,Q11,Q11_10_TEXT,Q12,Q12_10_TEXT,Q60,Q60_6_TEXT,Q13,Q13_4_TEXT,Q14,Q14_5_TEXT,Q13.1,Q15,Q6,Q6_3_TEXT,memberNo,userId,Q_DataPolicyViolations,gender,age_group,rgn_nm,bmclub,is_mfo,order_rank,BAEMIN_ord_cnt,stod_ord_cnt,BAERA_ord_cnt,BAERA_ord_cnt.1,total_ord_cnt
10,45947.45921,45947.46059,0,,100,119,1,45947.4606,R_9dFKbqzHW49DEC7,,,,,,,anonymous,KO,1,10,메뉴도 다양하고 배달도 만족도가 높아요,9,,,,,,,,,,1,,,가게 업체가 다양하다보니 선택폭이 넓어서좋아요,"1,5",,2.00831E+11,,,FEMALE,40대,수도권,미구독,한그룻 주문경험X,1,0,2,0,1,3
11,45947.46007,45947.46066,0,,100,50,1,45947.46067,R_9U9spt2pIpw1uGi,,,,,,,anonymous,KO,1,7,편리하긴 하나 배달비가 비싸서요.,,,8,,,,,,2,,,,,도착시간 예고,"1,2",,1.80619E+11,,,FEMALE,50대 이상,수도권,구독,한그룻 주문경험X,1,1,1,3,1,6
12,45947.4598,45947.46068,0,,100,75,1,45947.46069,R_4xEu7tZiuwECB4R,,,,,,,anonymous,KO,1,10,맛있고달고새콤해요,8,,,,,,,,1,,,,,특정기한없이맛있게배달,1,,2.11102E+11,,,FEMALE,30대,수도권,미구독,한그룻 주문경험X,1,0,2,0,0,2
13,45947.45978,45947.46083,0,,100,90,1,45947.46084,R_4z70LDz6KCgTeXF,,,,,,,anonymous,KO,1,10,입점 업체 다수,9,,,,,,,,,,3,,,보장된 맛,"1,2",,2.11123E+11,,,MALE,50대 이상,지방,구독,한그룻 주문경험X,1,0,8,0,0,8
14,45947.45944,45947.46086,0,,100,122,1,45947.46086,R_4NIMg3KN5ZlQJ5q,,,,,,,anonymous,KO,1,10,배달빠르고 진행 알려줘서~~,8,,,,,,,,2,,,,,기다리다 진행 알고싶다 ,"1,2",,2.31008E+11,,,MALE,50대 이상,지방,미구독,한그룻 주문경험X,1,3,1,0,0,4
15,45947.45979,45947.46088,0,,100,93,1,45947.46089,R_4wmnwIFviNBTABx,,,,,,,anonymous,KO,1,1,추천할사람없음,,,,,10,배민없는사람없음,,,,,,,배닥의민족 안쓰는사람은 그냥 배달 안시키는사람이에요 ,,"1,2,5",,2.00313E+11,,,FEMALE,40대,수도권,구독,한그룻 주문경험O,1,0,4,0,0,4
16,45947.4602,45947.46089,0,,100,60,1,45947.46091,R_43jy8fZ5zecNJOa,,,,,,,anonymous,KO,1,8,"다른 앱에 비해 사용하기 편하다
배민클럽 활용도가 높음",,,7,,,,5,,,,,,,경쟁사에 비해 활용도가 높다고 느낌,"1,4",,1.71214E+11,,,MALE,20대,지방,구독,한그룻 주문경험X,1,2,4,0,0,6
17,45947.4598,45947.46094,0,,100,98,1,45947.46095,R_4rwuVQGJJSlhsWS,,,,,,,anonymous,KO,1,8,배달팁이 너무 비싸거나 매장에비해 가격이 너무 비싼경우가 있음,,,7,,,,2,,,,,,,최소주문금액이 1인도 가능한 곳이 많아져서,1,,1.90825E+11,,,FEMALE,20대,광역시,구독,한그룻 주문경험X,1,0,3,0,0,3
18,45947.46044,45947.46119,0,,100,65,1,45947.4612,R_96Haa1zkx0VunhT,,,,,,,anonymous,KO,1,8,"배달어플중에는 1등이나, 혜택이 적어요",,,9,,,,,,,,1,,,배민을 사용하는 음식점이 많음,1,,2.5012E+11,,,FEMALE,30대,수도권,미구독,한그룻 주문경험X,1,0,3,0,0,3
19,45947.46078,45947.46125,0,,100,41,1,45947.46127,R_9HgZTASASd7d5eO,,,,,,,anonymous,KO,1,9,배달이 빨리옵니다,9,,,,,,,,,,4,,,음식이 제대로옴,"1,2",,2.1083E+11,,,MALE,30대,광역시,구독,한그룻 주문경험X,1,1,2,0,0,3
20,45947.45899,45947.46126,0,,100,196,1,45947.46127,R_9lQWPteh85d8x6P,,,,,,,anonymous,KO,1,5, ... ..... ....,,,,,9,,,,,,1,,,,1,,1.71116E+11,,,FEMALE,40대,광역시,미구독,한그룻 주문경험O,1,2,7,3,1,13
21,45947.4603,45947.46132,0,,100,87,1,45947.46133,R_4egeGOHGOu1B5St,,,,,,,anonymous,KO,1,1,소비자나 판매자 입장 어느 입장에서 봐도 본사 이득중심의 기업이라 기피하게됩니다,,,,,7,,3,,,,,,,"기업이
이윤을 줄이고 소비자와 판매자입장을 조금 더 생각했으면 합니다",2,,1.81214E+11,,,MALE,30대,수도권,미구독,한그룻 주문경험O,1,3,0,0,0,3
22,45947.46025,45947.4614,0,,100,98,1,45947.46141,R_4o2XyJfd2l49eNz,,,,,,,anonymous,KO,1,10,"음식점등 종류가 많고 찾기도쉽고 주문이쉽다.
요즘 쿠폰 많이 받아서 자주시킵니다",7,,,,,,4,,,,,,,쿠폰이나 행사가많아서 자주들어오게 하고 그걸 보다보면 배달을 더 시키게됨,"1,2",,2.0073E+11,,,FEMALE,40대,수도권,미구독,한그룻 주문경험X,1,0,1,2,0,3
23,45947.46068,45947.46142,0,,100,64,1,45947.46143,R_9I4ygElfm8eRDbc,,,,,,,anonymous,KO,1,7,배달료가 있어서,,,7,,,,3,,,,,,,배달팁이 점차 증가해서,"1,2,4",,2.10215E+11,,,FEMALE,20대,수도권,미구독,한그룻 주문경험X,1,0,1,0,1,2
24,45947.46084,45947.46142,0,,100,50,1,45947.46144,R_9I75CoKImxellcG,,,,,,,anonymous,KO,1,3, 내 맘 ㅋㅋㅋㅋㅋ,,,,,9,,,,,,4,,,냐횿애요리요ㅐㅛㅐ,2,,2.01114E+11,,,MALE,30대,수도권,구독,한그룻 주문경험X,1,0,2,1,1,4
25,45947.46052,45947.46144,0,,100,78,1,45947.46145,R_9C7NGuzIcyXIxgt,,,,,,,anonymous,KO,1,5,무난해서.,,,,,9,,,,,,5,점주가 상호명을 마음대로 변경 가능함,,문어발식 운영을 시스템적으로 막지 않고있음,"1,2",,2.10122E+11,,,MALE,20대,수도권,구독,한그룻 주문경험O,1,3,6,2,2,13
26,45947.45987,45947.46148,0,,100,138,1,45947.46149,R_9BoPXjyqj1UupFf,,,,,,,anonymous,KO,1,10,쿠팡에서는 입점되지 않은 브랜드들이 그래도 아직은 배달의민족에 있어서 폭넓게 이용가능합니다,9,,,,,,,,,,4,,,"배달의민족에 등록된 상점 중 하나이면, 그리고 오래 유지한다면, 이유가 있을것이라 판단됩니다","1,2,4,5",,2.00926E+11,,,MALE,40대,수도권,미구독,한그룻 주문경험X,1,1,5,0,0,6
27,45947.46012,45947.46148,0,,100,118,1,45947.46149,R_4D1F41p72IeXB4I,,,,,,,anonymous,KO,1,5,고액이된 배달수수료 정책에 반대하는 입장이라 선물받은 상품권사용만 아니었으면 배민을 이용하지 않았을겁니다,,,,,7,,3,,,,,,,대부분의 자영업자만 손해보는 구조,1,,2.50928E+11,,,MALE,40대,수도권,미구독,한그룻 주문경험X,1,0,1,0,0,1
28,45947.4612,45947.46152,0,,100,26,1,45947.46152,R_4gMdqZ4LSu85Pxf,,,,,,,anonymous,KO,1,6,전체적으로 별로,,,,,7,,5,,,,,,,,"5,6",,2.21127E+11,,,FEMALE,30대,광역시,구독,한그룻 주문경험X,1,0,6,0,0,6
29,45947.46034,45947.46152,0,,100,102,1,45947.46153,R_4WMKdRfqHRYdAY1,,,,,,,anonymous,KO,1,5,수수료가 많아서 소상공인들을 힘들게 해서,,,,,10,소상공인 수수료,,,,,,,소상공인 과다수수료,,1,,1.90826E+11,,,MALE,40대,광역시,미구독,한그룻 주문경험X,1,0,1,0,0,1
30,45947.45994,45947.46156,0,,100,139,1,45947.46157,R_923kvocEd3IbkRR,,,,,,,anonymous,KO,1,9,끝이 아니라서,9,,,,,,,,,,4,,,,"1,5",,2.30325E+11,,,MALE,40대,지방,구독,한그룻 주문경험O,1,1,2,0,0,3
31,45947.46096,45947.46161,0,,100,55,1,45947.46162,R_9iqTqyLyExCFEZ3,,,,,,,anonymous,KO,1,9,편리한 어플 ,7,,,,,,4,,,,,,,없습니다 ,1,,1.91114E+11,,,MALE,40대,수도권,구독,한그룻 주문경험X,1,0,3,3,0,6
32,45947.46079,45947.46162,0,,100,72,1,45947.46164,R_9n2bubYk57lCUF2,,,,,,,anonymous,KO,1,5,배달이 늦어요,,,,,7,,2,,,,,,,1인가구가 시키기에 비싸요,"1,2",,2.01106E+11,,,MALE,40대,수도권,미구독,한그룻 주문경험O,1,1,0,0,0,1
33,45947.46032,45947.46174,0,,100,121,1,45947.46174,R_9qlSKhyLDCwMUvV,,,,,,,anonymous,KO,1,6,뭔가 주변 얘기들어보면 옛날만큼의 메리트는 못 느끼겠습니다 다 엇비슷해서..,,,,,7,,2,,,,,,,간혹 그럴만한 메뉴가 아닌거 같다 싶은 집의 최소주문금액이 다소 높아서 주문하기 껄끄러워지는 경우가 잦았습니다.,"1,2,4,5",,1.90127E+11,,,MALE,20대,지방,구독,한그룻 주문경험O,1,1,17,2,0,20
34,45947.46082,45947.46174,0,,100,78,1,45947.46174,R_4Gp1GDlB2VfQCX4,,,,,,,anonymous,KO,1,5,그냥 배달의민족 만 사용해서,,,,,7,,3,,,,,,,,1,,2.1062E+11,,,MALE,30대,수도권,미구독,한그룻 주문경험X,1,0,3,0,0,3
35,45947.45931,45947.46174,0,,100,210,1,45947.46175,R_9ar7FjSugjDkdyC,,,,,,,anonymous,KO,1,5,배달어플에 대한 불만은 없지만 미디어에서 배달비 문제에 대한 이런저런 이슈로 회사 자체에 부정적인 이미지가 좀 있음,,,,,10,미디어에 배달회사자체 문제가 거론도면서,,,,,,,배달비 문제에 대한 미디어에서 부정적으로 보도하면서,,"1,2,4",,2.00403E+11,,,MALE,50대 이상,수도권,구독,한그룻 주문경험O,1,0,1,6,0,7
36,45947.4612,45947.46177,0,,100,48,1,45947.46178,R_4iUpjVH33XAjawx,,,,,,,anonymous,KO,1,10,편리해서요,8,,,,,,,,3,,,,,좋아서,1,,1.90703E+11,,,FEMALE,30대,수도권,미구독,한그룻 주문경험X,1,4,1,0,0,5
37,45947.46061,45947.46181,0,,100,102,1,45947.46181,R_4pm6kX8beY4DMBr,,,,,,,anonymous,KO,1,1,수수료비쌈,,,,,7,,3,,,,,,,"배달료 비싸고
최근 배달 라이더 운료료도 착취한다고 들음",1,,2.10303E+11,,,MALE,40대,지방,미구독,한그룻 주문경험X,1,19,0,0,1,20
38,45947.46071,45947.46181,0,,100,95,1,45947.46182,R_9ku63NxDUsUQaeB,,,,,,,anonymous,KO,1,4,"가게를 찾으려고 해도 찾기 어려움
배달 픽업 각자 다르게 돼있어서 보기 힘듬",,,,,7,,4,,,,,,,할인쿠폰이 거의 없어서 비쌈,"1,4",,1.91216E+11,,,FEMALE,40대,지방,미구독,한그룻 주문경험X,1,0,2,0,4,6
39,45947.46101,45947.46181,0,,100,68,1,45947.46182,R_4UYqM3qw1JwPziC,,,,,,,anonymous,KO,1,5,음식주문 편리해요,,,,,7,,4,,,,,,,할인 많이 해주세요,"1,2",,1.80307E+11,,,FEMALE,30대,지방,구독,한그룻 주문경험X,1,5,7,0,1,13
40,45947.46078,45947.46186,0,,100,94,1,45947.46188,R_9rMnXlqXONVfiJi,,,,,,,anonymous,KO,1,9,음식 주문이 쉽게 가능,8,,,,,,,,2,,,,,도착 예정 시간을 대략으로나마 알수있어서,1,,2.00217E+11,,,FEMALE,20대,수도권,미구독,한그룻 주문경험X,1,0,2,0,3,5
41,45947.45999,45947.46188,0,,100,162,1,45947.46188,R_4f1V7NZHoZyqi0p,,,,,,,anonymous,KO,1,9,배민정액 가입시 무료배달이 가능하고 쿠폰들도 유용하게 사용중,7,,,,,,5,,,,,,,맴버셉 무료배달과 쿠폰,"1,2,4",,1.91125E+11,,,MALE,40대,수도권,구독,한그룻 주문경험O,1,0,4,2,0,6
42,45947.46082,45947.4619,0,,100,93,1,45947.46191,R_9G7CJ8p2ImrcTpn,,,,,,,anonymous,KO,1,10,정확하고 빠른 배달 만족합니다,8,,,,,,,,2,,,,,배달 시간을 알 수 있어 좋아요,1,,2.50806E+11,,,FEMALE,50대 이상,수도권,미구독,한그룻 주문경험X,1,0,2,0,0,2
43,45947.46111,45947.4619,0,,100,68,1,45947.46191,R_4eRsKvxlDsK1dQC,,,,,,,anonymous,KO,1,7,"배민 안 쓰는 친구가 없어서
추천해줄 친구가 없아용",,,10,배민이 젤 대중적이라,,,,,,,,,,,1,,2.10723E+11,,,FEMALE,10대,지방,미구독,한그룻 주문경험X,1,6,0,0,1,7
44,45947.45986,45947.46203,0,,100,187,1,45947.46204,R_4GJsVYKYBp8YIPH,,,,,,,anonymous,KO,1,10,선택의폭이 타앱에비해 월등히 많음,9,,,,,,,,,,5,입점 점포 수,,선택지와 비교지가 많음,"1,2,4,5,6",,2.40514E+11,,,FEMALE,40대,수도권,구독,한그룻 주문경험X,1,0,3,1,1,5
45,45947.46028,45947.46207,0,,100,154,1,45947.46208,R_4D0IUpvzzuftxt4,,,,,,,anonymous,KO,1,10,간편하구 포인트두 많이줘서 추천합니다,7,,,,,,4,,,,,,,포인트혜택이 많아요,1,,2.30722E+11,,,MALE,40대,광역시,구독,한그룻 주문경험X,1,0,3,0,0,3
46,45947.46012,45947.46211,0,,100,172,1,45947.46212,R_4IlVoN9eSJYKckV,,,,,,,anonymous,KO,1,5,요즘 한 집 배달로 시켜도 배달 완료 시간이 늘어나서,,,,,7,,4,,,,,,,이용 잘 안 하는 소비자에게는 쿠폰을 주고 이용 잘 하는 소비자들에게는 쿠폰을 잘 안 줘서,1,,2.00816E+11,,,FEMALE,20대,수도권,구독,한그룻 주문경험X,1,2,3,1,0,6
47,45947.46103,45947.46214,0,,100,96,1,45947.46216,R_4fwJOgOfJA7Vbea,,,,,,,anonymous,KO,1,10,다양한 메뉴 선정 가능,9,,,,,,,,,,4,,,문제 발생시 빠른 대응,1,,2.10813E+11,,,MALE,40대,지방,미구독,한그룻 주문경험X,1,17,2,0,0,19
48,45947.46118,45947.46221,0,,100,89,1,45947.46222,R_4ltu3MxH09G0r5y,,,,,,,anonymous,KO,1,1,배차 늦음 음식 식어서옴,,,,,8,,,,1,,,,,아 배달 속도도 속도지만 비나 눈오거나 이럴때 왜 멀리서 못시켜먹는지? ,5,,1.81102E+11,,,MALE,30대,수도권,미구독,한그룻 주문경험O,1,1,5,1,1,8
49,45947.46159,45947.46228,0,,100,59,1,45947.46229,R_4rImO1f1sGAOrnV,,,,,,,anonymous,KO,1,10,좋으니까요ㅎ,8,,,,,,,,3,,,,,깔끔히 도착,1,,2.20213E+11,,,MALE,30대,지방,미구독,한그룻 주문경험X,1,0,0,1,2,3
50,45947.46153,45947.46231,0,,100,67,1,45947.46233,R_4cTCyqXWFCZKjeY,,,,,,,anonymous,KO,1,8,편리합니다,,,7,,,,4,,,,,,,"쿠폰으로 배달비 커버
가능","1,2",,1.50916E+11,,,FEMALE,30대,수도권,구독,한그룻 주문경험X,1,0,6,0,1,7
51,45947.46189,45947.46234,0,,100,38,1,45947.46235,R_9QPs9L5mvmvO4Gn,,,,,,,anonymous,KO,1,10,편하고 빠름,7,,,,,,4,,,,,,,할인이 편함,1,,2.00522E+11,,,MALE,30대,수도권,미구독,한그룻 주문경험X,1,0,1,0,0,1
52,45947.4617,45947.46235,0,,100,55,1,45947.46236,R_4GeUVu9N7CaDFgC,,,,,,,anonymous,KO,1,10,편해서 이용하기 쉬움,7,,,,,,2,,,,,,,,"1,3",먹깨비,1.61009E+11,,,MALE,30대,지방,미구독,한그룻 주문경험O,1,5,13,0,1,19
53,45947.46162,45947.4625,0,,100,76,1,45947.46251,R_40qwcuoVzEodhOB,,,,,,,anonymous,KO,1,6,최근에 배달비가 너무 올라감,,,,,7,,2,,,,,,,"최소 주문 금액 14000원
실제 최저 가격 17000원
이런 게 ㄴㅁㄴㅁ 많음","1,4",,2.20323E+11,,,FEMALE,20대,지방,미구독,한그룻 주문경험X,1,2,0,0,0,2
54,45947.46174,45947.46251,0,,100,67,1,45947.46253,R_4GrFTLtvMFvYsI9,,,,,,,anonymous,KO,1,7,최근 업체와 배민 금액이 차이가 심해지고 있음,,,8,,,,,,2,,,,,배송기사에 동선 확인,"1,2,5",,1.40903E+11,,,MALE,40대,수도권,구독,한그룻 주문경험X,1,1,2,0,2,5
55,45947.46137,45947.46252,0,,100,100,1,45947.46253,R_4ZIl26X3u646zUB,,,,,,,anonymous,KO,1,5,타 플랫폼은 무료라서요,,,,,10,클럽 가입 필요,,,,,,,"무료로도 가능한 곳이 있는데, 돈을 쓸 만한 메리트가 없어보입니다",,"1,2",,1.51112E+11,,,FEMALE,30대,수도권,미구독,한그룻 주문경험X,1,0,1,0,0,1
56,45947.46154,45947.46253,0,,100,86,1,45947.46255,R_4a8Nxb7kFI8605Y,,,,,,,anonymous,KO,1,6,단순한 추천,,,,,7,,4,,,,,,,해택이 많으면 좋아요~,2,,2.40329E+11,,,MALE,40대,수도권,미구독,한그룻 주문경험X,1,0,0,1,0,1
57,45947.46108,45947.46255,0,,100,126,1,45947.46255,R_4PY5YC1kUwpWvXS,,,,,,,anonymous,KO,1,9,배달주문시매우만족하는편이라서,8,,,,,,,,3,,,,,만족합니다.,"1,4",,2.40222E+11,,,MALE,50대 이상,수도권,미구독,한그룻 주문경험X,1,2,0,0,0,2
58,45947.46214,45947.4626,0,,100,39,1,45947.46261,R_4JHIbeTxbJewBqN,,,,,,,anonymous,KO,1,1,배달비이슈,,,,,7,,3,,,,,,,비싸요,"1,2",,1.80512E+11,,,FEMALE,40대,수도권,구독,한그룻 주문경험X,1,0,3,1,1,5
59,45947.4615,45947.4626,0,,100,95,1,45947.46262,R_4YKZJ7i2iB7pT9x,,,,,,,anonymous,KO,1,9,가게들 정렬도 찾기 쉽게 잘되어있고 할인하는가게들이 많고 특히 리뷰를 보고 더 좋은가게를 찾을수있다,7,,,,,,4,,,,,,,예전보다 할인률이 많이지고 이벤트들이생기면서 조금더 싼가격에 먹을수있다,"1,2",,1.9043E+11,,,FEMALE,20대,수도권,구독,한그룻 주문경험O,1,2,1,0,0,3
60,45947.46215,45947.46269,0,,100,45,1,45947.46269,R_4IdgnLZT9dIy5b3,,,,,,,anonymous,KO,1,1,배달료 너무 비쌈,,,,,7,,5,,,,,,,배밐클럽 없으면 너무비쌈,4,,1.80622E+11,,,MALE,30대,수도권,미구독,한그룻 주문경험X,1,0,1,0,0,1
61,45947.46178,45947.46274,0,,100,83,1,45947.46275,R_9lWeg8sTU7nMeIH,,,,,,,anonymous,KO,1,10,배민클럽 배달위치 실시간추적 각종쿠폰 타사 대비 압도적인 점포수,8,,,,,,,,1,,,,,비교적 타사 대비 빠르게 배차 되는편,"1,2",,1.80807E+11,,,MALE,30대,수도권,구독,한그룻 주문경험X,1,2,4,0,2,8
62,45947.46196,45947.46278,0,,100,70,1,45947.46278,R_9L1kvJvmcMn0PbE,,,,,,,anonymous,KO,1,9,"저렴한 배민클럽 가격
",7,,,,,,5,,,,,,,멤버십 할인이 될때 멤버십 가입해둔게 뿌듯함 그건 가격때문일듯!!!!,"1,2",,1.70209E+11,,,FEMALE,20대,수도권,구독,한그룻 주문경험X,1,0,3,0,0,3
63,45947.46078,45947.46281,0,,100,175,1,45947.46282,R_9f69MMpbeXuCK2d,,,,,,,anonymous,KO,1,0,"음식점애 높은 수수료,배달라이더들에대한 처우가 불합리함 ",,,,,10,기업자체의 문제,,,,,,,사업장과 라이더들과 상생이아닌 배민만 살자은 이기심,,"1,5,3",전주맛배달,1.81112E+11,,,FEMALE,40대,지방,미구독,한그룻 주문경험X,1,0,2,0,0,2
64,45947.46146,45947.46282,0,,100,117,1,45947.46283,R_4pRoHKhRQyhcmUK,,,,,,,anonymous,KO,1,7,배민만의 서비스 특장점은 사라진 느낌 다른 플랫폼이 많이 있어서 모두 설치해두고 그냥 가장 저렴한 곳에서 주문하게됨 ,,,10,초창기 브랜딩 ,,,,,,,,,"배민이라는 브랜드가 과거에 했던 브랜드 캠페인들이 머릿속에 너무 강력하게 박혀있음 (배민신춘문예, 폰트 배포 등) ",,"1,2,5",,1.81021E+11,,,FEMALE,30대,수도권,미구독,한그룻 주문경험X,1,0,1,1,1,3
65,45947.46196,45947.46287,0,,100,78,1,45947.46288,R_9fJBFJhyrDMQMjy,,,,,,,anonymous,KO,1,8,"나쁘지는
  않음",,,7,,,,1,,,,,,,메뉴선택에서 가격이 제일 크게 느껴짐,"1,4,3",대구로,1.80108E+11,,,FEMALE,40대,광역시,미구독,한그룻 주문경험O,1,0,2,0,0,2
66,45947.46127,45947.46293,0,,100,142,1,45947.46294,R_4XckhsRZR4lj5Eo,,,,,,,anonymous,KO,1,0,횡포가 너무심해요,,,,,7,,6,기사님들 배달비 줄이는건 기가막히게 잘하시지요 그거부터 개선 하세요,,,,,,기사들 배달비 줄일생각하지말고 처우 개선부터하세요,"1,3",대구로,1.60504E+11,,,MALE,40대,광역시,미구독,한그룻 주문경험X,1,11,1,0,0,12
67,45947.45913,45947.46301,0,,100,334,1,45947.46302,R_9YFWtI0OO6NPGms,,,,,,,anonymous,KO,1,7,"배달 음식이 쏟아지거나 하는 돌발상황에서 대처가 빠르고 환불도 잘 해주는 편입니다.
하지만 배달하시는 분들이 음식을 좀 함부러 다루시는 부분이 조금  아쉽고 종종 배달 예상시간이 지연되는 경우가 있어서 아쉽습니다.",,,7,,,,4,,,,,,,저는 타사이트와 비교하는 편인데 할인쿠폰 사용으로 타사이트보다 저렴하게 주문할 수 있어서 좋았습니다.,"1,2",,2.50114E+11,,,FEMALE,40대,수도권,미구독,한그룻 주문경험X,1,0,4,1,0,5
68,45947.46228,45947.46303,0,,100,64,1,45947.46304,R_915gqAPUNDYKh5T,,,,,,,anonymous,KO,1,10,빠르게배송되어서좋아요~~,7,,,,,,4,,,,,,,"할인등쿠폰중복이되어서좋아요,",2,,1.80108E+11,,,FEMALE,40대,수도권,구독,한그룻 주문경험O,1,1,4,0,0,5
69,45947.462,45947.46306,0,,100,90,1,45947.46306,R_4QVVOa6dxYL3UGs,,,,,,,anonymous,KO,1,8,디자인도 이쁘고 필요한 요소들은 눈앞에 보이는 편이지만 뭐가 맛있는 것인지 이게 젛은건지 점 줄편한 감이 없지않아 있는 것 같음.,,,8,,,,,,2,,,,,,"1,2",,2.1032E+11,,,FEMALE,20대,수도권,구독,한그룻 주문경험O,1,2,23,2,0,27
70,45947.4623,45947.4631,0,,100,69,1,45947.46312,R_9rvJ2KEiF6pugEv,,,,,,,anonymous,KO,1,10,주문 배달 관련 하여 빠르며 친절함,8,,,,,,,,2,,,,,시간을 유추 할수 있어 좋음,"1,2",,2.01404E+11,,,MALE,40대,지방,구독,한그룻 주문경험X,1,2,3,0,0,5
71,45947.46134,45947.46315,0,,100,155,1,45947.46315,R_4hXypihmAbE6UGP,,,,,,,anonymous,KO,1,6,다양한가게가 있어 추천하지만 보통 이미 주력으로 사용하는 어플이 있는경우가 있어서,,,,,10,가게에 부여되는 수수료,,,,,,,수수료가 높아 가게에 부담이 된다는 소리를 듣고 나니 좀 자제하게 되는 것 같다,,"1,2,5",,2.00904E+11,,,FEMALE,20대,수도권,미구독,한그룻 주문경험X,1,0,1,0,0,1
